fbref_id,fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated,missing_matchlogs
2928dca2,Conor Coady,Conor Coady,100.0,533.0,,,
b73e459a,Joel Coleman,Joel Coleman,100.0,2.0,,,
f13d02a6,Hélder Costa,Hélder Wander Sousa de Azevedo e Costa,100.0,116.0,,,
dc10b26c,Greg Cunningham,Greg Cunninghamm,97.0,9.0,,,
d9565625,Diogo Dalot,Diogo Dalot Teixeira,90.0,280.0,,,
03e48abb,Matty Daly,Matthew Daly,82.0,2.0,1.0,,
074d8166,Loïc Damour,Loïc Damour,100.0,2.0,,,
5a7301ae,Leander Dendoncker,Leander Dendoncker,100.0,358.0,,,
65585e3a,Adama Diakhaby,Adama Diakhaby,100.0,19.0,,,
f522d7ec,Grady Diangana,Grady Diangana,100.0,64.0,,,
1b84dbe1,Lucas Digne,Lucas Digne,100.0,616.0,,,
a712ca2b,Issa Diop,Issa Diop,100.0,360.0,,,
d557d734,Matt Doherty,Matt Doherty,100.0,499.0,,,
d1c509d9,Luke Dreher,Luke Dreher,100.0,1.0,,,
5ef608f7,Demeaco Duhaney,Demeaco Duhaney,100.0,1.0,,,
cf623c78,Erik Durm,Erik Durm,100.0,49.0,,,
72a0fb65,Bruno Ecuele Manga,Bruno Ecuele Manga,100.0,97.0,,,
b9e1436c,Harvey Elliott,Harvey Elliott,100.0,164.0,,,
68dc0dac,Mohamed Elyounoussi,Mohamed Elyounoussi,100.0,180.0,,,
2642bf6c,Neil Etheridge,Neil Etheridge,100.0,154.0,,,
7f3b388c,Fabinho,Fabio Henrique Tavares,100.0,380.0,,,
af245161,Fabricio,Fabricio Agosto Ramírez,90.0,8.0,,,
6c7762c3,Juan Foyth,Juan Foyth,100.0,38.0,,,
b853e0ad,Fred,Frederico Rodrigues de Paula Santos,100.0,314.0,,,
c067631c,Ryan Fredericks,Ryan Fredericks,100.0,159.0,,,
44361ade,Sam Gallagher,Sam Gallagher,100.0,4.0,,,
4e015693,James Garner,James Garner,100.0,109.0,,,
dc3a9a0d,Rachid Ghezzal,Rachid Ghezzal,100.0,28.0,,,
32f60ed8,Morgan Gibbs-White,Morgan Gibbs-White,100.0,347.0,,,
1961b2aa,André Gomes,André Tavares Gomes,86.0,188.0,1.0,,
9c74fa25,Jon Gorenc Stanković,Jon Gorenc Stankovic,95.0,24.0,,,
87f7500e,Karlan Grant,Karlan Grant,100.0,86.0,,,
58eee997,Mason Greenwood,Mason Greenwood,100.0,284.0,,,
ab13a5aa,Vicente Guaita,Vicente Guaita,100.0,560.0,,,
5ea8ef20,Mattéo Guendouzi,Mattéo Guendouzi,100.0,95.0,,,
e082af5b,Angus Gunn,Angus Gunn,100.0,107.0,,,
e2533c20,Aron Gunnarsson,Aron Gunnarsson,100.0,65.0,,,
24396398,Kadeem Harris,Kadeem Harris,100.0,24.0,,,
07ace8c3,Rhys Healey,Rhys Healey,100.0,3.0,,,
8a08491a,Gonzalo Higuaín,Gonzalo Higuaín,100.0,53.0,,,
