season,fbref_name,fpl_name,fuzzy_score
2016-2017,Modou Barrow,Modou Barrow,100.0
2016-2017,,Mohamed Diamé,
2016-2017,Mohamed Elneny,Mohamed Elneny,100.0
2016-2017,Wes Morgan,Morgan Schneiderlin,86.0
2016-2017,Morgan Schneiderlin,Morgan Schneiderlin,100.0
2016-2017,,Moses Odubajo,
2016-2017,Mousa Dembélé,Mousa Dembélé,100.0
2016-2017,,Muhamed Besic,
2016-2017,N'Golo Kanté,N'Golo Kanté,100.0
2016-2017,Georges-Kévin N'Koudou,N'Golo Kanté,86.0
2016-2017,,Nabil Bentaleb,
2016-2017,Nacer Chadli,Nacer Chadli,100.0
2016-2017,Nacho Monreal,Nacho Monreal,100.0
2016-2017,Nampalys Mendy,Nampalys Mendy,100.0
2016-2017,Nathaniel Clyne,Nathaniel Clyne,100.0
2016-2017,Nathan Aké,Nathan Aké,100.0
2016-2017,Nathan Dyer,Nathan Dyer,100.0
2016-2017,Nathan Redmond,Nathan Redmond,100.0
2016-2017,Neil Taylor,Neil Taylor,100.0
2016-2017,Nemanja Matić,Nemanja Matic,92.0
2016-2017,,Nick Pope,
2016-2017,Nicolás Otamendi,Nicolás Otamendi,100.0
2016-2017,Nordin Amrabat,Nordin Amrabat,100.0
2016-2017,Odion Ighalo,Odion Ighalo,100.0
2016-2017,,Olayinka Fredrick Oladotun Ladapo,
2016-2017,Ola Aina,Ola Aina,100.0
2016-2017,,Oleksandr Zinchenko,
2016-2017,Olivier Giroud,Olivier Giroud,100.0
2016-2017,,Oluwaseyi Ojo,
2016-2017,Oriol Romeu,Oriol Romeu Vidal,90.0
2016-2017,Oscar,Oscar dos Santos Emboaba Junior,90.0
2016-2017,Junior Stanislas,Oscar dos Santos Emboaba Junior,86.0
2016-2017,Oumar Niasse,Oumar Niasse,100.0
2016-2017,Pablo Zabaleta,Pablo Zabaleta,100.0
2016-2017,Pape Souaré,Pape Souaré,100.0
2016-2017,Papy Djilobodji,Papy Djilobodji,100.0
2016-2017,,Patrick McNair,
2016-2017,Patrick van Aanholt,Patrick van Aanholt,100.0
2016-2017,,Paulo Gazzaniga,
2016-2017,Paul Pogba,Paul Pogba,100.0
2016-2017,Paul Robinson,Paul Robinson,100.0
2016-2017,Pedro,Pedro Chirivella,90.0
2016-2017,Pedro Obiang,Pedro Obiang,100.0
2016-2017,Pedro,Pedro Obiang,90.0
2016-2017,Pedro Obiang,Pedro Rodríguez Ledesma,86.0
2016-2017,Pedro,Pedro Rodríguez Ledesma,90.0
2016-2017,Per Mertesacker,Per Mertesacker,100.0
2016-2017,Peter Crouch,Peter Crouch,100.0
2016-2017,Petr Čech,Petr Cech,89.0
2016-2017,Philippe Coutinho,Philippe Coutinho,100.0
2016-2017,Philipp Wollscheid,Philipp Wollscheid,100.0
2016-2017,Phil Bardsley,Phil Bardsley,100.0
2016-2017,Phil Jagielka,Phil Jagielka,100.0
2016-2017,Phil Jones,Phil Jones,100.0
2016-2017,Pierre Højbjerg,Pierre-Emile Højbjerg,95.0
2016-2017,Ragnar Klavan,Ragnar Klavan,100.0
2016-2017,Raheem Sterling,Raheem Sterling,100.0
2016-2017,Ramadan Sobhi,Ramadan Sobhi,100.0
2016-2017,Ramiro Funes Mori,Ramiro Funes Mori,100.0
2016-2017,,Reece Oxford,
2016-2017,Rickie Lambert,Rickie Lambert,100.0
2016-2017,,Ritchie de Laet,
2016-2017,Riyad Mahrez,Riyad Mahrez,100.0
2016-2017,Robert Huth,Robert Kenedy Nunes do Nascimento,86.0
2016-2017,Kenedy,Robert Kenedy Nunes do Nascimento,90.0
2016-2017,Robert Snodgrass,Robert Kenedy Nunes do Nascimento,86.0
2016-2017,Ron-Robert Zieler,Robert Kenedy Nunes do Nascimento,86.0
2016-2017,Roberto Firmino,Roberto Firmino,100.0
2016-2017,Robert Huth,Robert Huth,100.0
2016-2017,Ron-Robert Zieler,Robert Huth,86.0
2016-2017,Robert Snodgrass,Robert Snodgrass,100.0
2016-2017,Rob Holding,Rob Holding,100.0
2016-2017,Romelu Lukaku,Romelu Lukaku,100.0
2016-2017,Robert Huth,Ron-Robert Zieler,86.0
2016-2017,Ron-Robert Zieler,Ron-Robert Zieler,100.0
2016-2017,Ross Barkley,Ross Barkley,100.0
2016-2017,,Rouwen Hennings,
2016-2017,Ruben Loftus-Cheek,Ruben Loftus-Cheek,100.0
2016-2017,Ryan Bertrand,Ryan Bertrand,100.0
2016-2017,Ryan Mason,Ryan Mason,100.0
2016-2017,Ryan Shawcross,Ryan Shawcross,100.0
2016-2017,Sadio Mané,Sadio Mané,100.0
2016-2017,Saido Berahino,Saido Berahino,100.0
2016-2017,Salomón Rondón,Salomón Rondón,100.0
2016-2017,Samir Nasri,Samir Nasri,100.0
2016-2017,Sam Byram,Sam Byram,100.0
2016-2017,Sam Clucas,Sam Clucas,100.0
2016-2017,Sam Field,Sam Field,100.0
2016-2017,Sam Vokes,Sam Vokes,100.0
2016-2017,Santi Cazorla,Santiago Cazorla,90.0
2016-2017,Scott Arfield,Scott Arfield,100.0
2016-2017,Scott Dann,Scott Dann,100.0
2016-2017,Scott McTominay,Scott Dann,86.0
2016-2017,Séamus Coleman,Seamus Coleman,93.0
2016-2017,Seb Larsson,Sebastian Larsson,86.0
2016-2017,Sebastian Prödl,Sebastian Prödl,100.0
2016-2017,,Serge Gnabry,
2016-2017,Sergio Agüero,Sergio Agüero,100.0
2016-2017,Sergio Romero,Sergio Romero,100.0
2016-2017,Shane Long,Shane Long,100.0
2016-2017,,Shaun MacDonald,
2016-2017,Shaun Maloney,Shaun Maloney,100.0
2016-2017,Shay Given,Shay Given,100.0
2016-2017,Shinji Okazaki,Shinji Okazaki,100.0
2016-2017,Simon Francis,Simon Francis,100.0
2016-2017,Simon Mignolet,Simon Mignolet,100.0
2016-2017,Sofiane Feghouli,Sofiane Feghouli,100.0
2016-2017,,Stephen Ireland,
2016-2017,Stephen Kingsley,Stephen Kingsley,100.0
2016-2017,Stephen Ward,Stephen Ward,100.0
2016-2017,,Steven Berghuis,
2016-2017,Steven Davis,Steven Davis,100.0
2016-2017,Steve Cook,Steve Cook,100.0
2016-2017,Steve Mandanda,Steve Mandanda,100.0
2016-2017,Stewart Downing,Stewart Downing,100.0
2016-2017,Sullay Kaikai,Sullay Kaikai,100.0
2016-2017,Ki Sung-yueng,Sung-yueng Ki,95.0
2016-2017,,Sébastien Pocognoli,
2016-2017,,Takuma Asano,
2016-2017,,Tendayi Darikwa,
2016-2017,Theo Walcott,Theo Walcott,100.0
2016-2017,Thibaut Courtois,Thibaut Courtois,100.0
2016-2017,Timothy Fosu-Mensah,Timothy Fosu-Mensah,100.0
